Ссылка на статью;Заголовок статьи;Текст статьи
vk.com/faq20031;Как выпустить классы?;Сделать это может только администратор.Откройте «Классы» → «Режим редактирования классов» → Отметьте галочкой нужные из списка → «Выпустить». Можно выпустить классы любой параллели.В левом столбце классы отобразятся так, как они есть в школе сейчас, в правом к названиям классов прибавится текст «Выпуск N года». Если всё верно, нажмите «Продолжить».Выпущенные классы будут по-прежнему отображаться на странице классов школы, но отдельно от классов, которые ещё учатся. Для быстрого поиска используйте фильтр в «Параметрах поиска».
vk.com/faq20030;Как перевести учеников в следующий класс по окончании учебного года?;Сделать это может только администратор.Откройте раздел «Классы» → «Режим редактирования классов» → Отметьте галочкой нужные из списка → «Перевести».В левом столбце классы будут отображены так, как они есть в школе сейчас, в правом — как они будут отображаться после перевода.Названия классов из правого столбца можно отредактировать. Внесите изменения → «Продолжить» → «Да, всё верно».
vk.com/faq20029;Как сменить администратора?;Администраторы могут назначать аналогичную роль другим учителям. Для этого в списке участников нажмите на три точки рядом с кандидатом → «Редактировать» → Установите галочку в поле «Администратор» → «Сохранить».Здесь же можно лишить учителя права администрирования.Если в школе был только один администратор, который уже не работает, то наделить правами другого сотрудника можно с помощью поддержки. Для этого напишите в поддержку через раздел «Помощь», опишите ситуацию и прикрепите документ о назначении сотрудника.В документе укажите Ф. И. О. нового администратора, номер телефона, с которым он пройдёт регистрацию, и адрес электронной почты.Бывшего администратора можно удалить из школы: откройте список участников → Напротив нужного участника нажмите на три точки → «Удалить из школы».
vk.com/faq20028;Ведение каналов;Каналы — это инструмент для информирования учеников и коллег. Здесь можно публиковать новости, рассказывать об истории школы, поздравлять с праздниками, отправлять видео- и аудиосообщения. К сообщениям можно прикрепить фотографии, видео, документы или опросы.Каналы создаются автоматически при регистрации школы. Писать в каналы могут администраторы. Другие участники могут только читать каналы.Писать в канале можно от своего имени или от имени школы. Чтобы написать от своего имени, откройте нужный канал в VK Мессенджере и напишите сообщение так, как пишете обычно в чатах. От имени организации в VK Мессенджере написать не получится.Написать сообщение от имени организации можно на сайте sferum.ru. Для этого: авторизуйтесь на сайте sferum.ru нажмите на свой профиль справа вверху и выберите нужную организацию перейдите в раздел «Обращения в организацию» (в меню слева) выберите нужный канал отправьте сообщение.
vk.com/faq20027;Как пожаловаться на сообщения в чатах?;Наведите курсор на сообщение → Кликните на три точки → Выберите «Пожаловаться». Жалоба сразу уходит на модерацию и рассматривается быстрее обращений в Поддержку.
vk.com/faq20026;Назначение дополнительных администраторов;Администраторы могут наделять правами администратора других пользователей.Для этого претендентам сначала нужно присоединиться к школе в роли учителя.После этого откройте раздел «Участники» в левом меню → Найдите будущего помощника → Нажмите на три точки рядом с именем → «Редактировать» → Поставьте галочку рядом с кнопкой «Администратор» → Сохраните изменения.Здесь же можно убрать галочку и разжаловать участника.Вы можете назначить несколько администраторов. Рекомендуем выбирать на роль администратора только проверенных людей.
vk.com/faq20025;Обращения в школу;Администраторы могут общаться с членами школьного сообщества не только от своего имени, но и от лица организации. Это удобно при решении вопросов, в которых необходимо задействовать несколько человек: чтобы не пересылать сообщения, достаточно выдать права администратора нужным сотрудникам.Ученики и учителя могут задавать общие вопросы прямо с главной страницы образовательной организации. Для этого нужно нажать на три точки в верхней части страницы и выбрать «Написать администрации». Чтобы ответить на такое сообщение, администратору достаточно зайти в пункт «Обращения в организацию» в левом меню. Оттуда можно перейти и в любую общешкольную беседу, чтобы написать от лица организации.При таком способе переписки получатель не видит имени конкретного администратора, который ответил на вопрос.
vk.com/faq20024;Как удалить участника из школы?;Откройте список участников → Нажмите на три точки напротив нужного имени → «Удалить из школы».После этого пользователь пропадёт из списка участников школы и не сможет просматривать школу и работать с ней.Пользователь может повторно подать заявку в школу или присоединиться по ссылке-приглашению.
vk.com/faq20023;Как исключить или добавить участника в класс?;Администраторы могут добавлять в классы участников и исключать их.Как добавить участника:Откройте класс → «Добавить учителя» / «Добавить руководителя» (для классного руководителя).Таким образом получится добавить участника, только если он уже состоит в сообществе. Если его пока нет в школе, отправьте ему ссылку-приглашение для подачи заявки в организацию. Как удалить участника:Откройте класс → Нажмите на три точки напротив имени пользователя → «Удалить».После удаления проверьте общие чаты класса и исключите лишних участников.Откройте чат → Нажмите на название чата → Три точки напротив участника → «Удалить».
vk.com/faq20022;Что делать, если ученик попал не в свой класс?;Если ученик по ошибке попал не в тот класс, перевести его может администратор школьного сообщества «Сферум». Для этого сотруднику нужно открыть класс, в который ученик попал ошибочно, напротив его имени нажать три точки → «Удалить». Затем открыть нужный класс и выбрать «Добавить ученика».После перевода проверьте общие чаты классов и исключите лишних участников. Откройте чат → Нажмите на название чата → Три точки напротив участника → «Удалить».
vk.com/faq20021;Как указать или изменить информацию о школе?;Информацию об организации может изменить только администратор, нажав на кнопку «Редактировать» на главной странице.Если вы состоите в нескольких организациях, выберите нужную в выпадающем меню рядом с фото профиля. Затем перейдите на «Главную» и внесите дополнения в описание по кнопке «Редактировать».Вы можете изменить название организации, указать статус, добавить описание и контактные данные, установить фотографию.Чтобы установить аватар организации, нажмите на изображение фотоаппарата → Выберите изображение → Выделите часть снимка, которая отобразится на главной странице школы → Нажмите «Сохранить».На главной странице организации видна только часть описания — рекомендуем указать самые важные данные в начале.Чтобы увидеть описание полностью, нажмите на кнопку «Развернуть».Номер телефона видят все участники школьного сообщества. Рекомендуем указать публичный телефон — например, номер приёмной.
vk.com/faq20020;Как зарегистрировать второго ребёнка? Как зарегистрировать несколько пользователей на один аккаунт?;Для регистрации каждого пользователя нужно использовать отдельный аккаунт. Указать несколько пользователей в одном профиле нельзя. Один номер телефона можно привязать только к одному аккаунту. Если у вас несколько детей, для регистрации каждого из них потребуется свой номер телефона. Обратите внимание: ученики начальной школы могут зарегистрироваться в Сферуме по ссылке-приглашению от администратора или классного руководителя не по телефону, а по электронной почте. Пожалуйста, не используйте для регистрации ребёнка телефон родителя! Это приведёт к путанице с аккаунтами.
vk.com/faq20019;Как учителю подать заявку на вступление в свою организацию?;Откройте сайт sferum.ru → «Вход для учителей» → Выберите регион → справа вверху нажмите «Войти» → Введите свой номер телефона и пройдите регистрацию или авторизуйтесь → выберите нужную роль и вашу образовательную организацию. После этого создастся заявка, которую должен одобрить администратор.В выпадающем меню в правом верхнем углу у вас появится школа, в которую была подана заявка, с подписью «Ожидает подтверждения». Как только запрос одобрят, вы попадёте в сообщество и сможете в нём работать.Важно правильно указать свою роль, так как возможности у учителей и учеников разные. Если вы ошиблись в выбранной роли, обратитесь за помощью к администратору школы.Обратите внимание — заявки, поданные в выпущенные классы, автоматически удаляются. Подать заявку в организацию без классов не получится. Попросите администратора сначала создать их.
vk.com/faq20018;Как учителю и ученику зарегистрироваться по ссылке-приглашению?;Перейдите по ссылке и следуйте подсказкам на экране. Проверьте, что приглашение отправлено в корректную школу и класс на нужную роль. Ссылку-приглашение может создать администратор.Дождитесь, когда администратор примет вашу заявку. Как только заявка будет принята, вы получите уведомление и сможете начать работу. Для этого нажмите на название нужной школы в выпадающем списке в правом верхнем углу. Ученик может присоединиться по ссылке-приглашению на роль ученика от администратора или классного руководителя.
vk.com/faq20017;Как пригласить пользователя в сообщество Сферум?;Учитель и ученик могут присоединиться к организации тремя способами:1) По ссылке-приглашению.Создать приглашение могут только классные руководители или администраторы школы. Ученику или учителю нужно перейти по ссылке-приглашению и зарегистрироваться.Классный руководитель может приглашать учеников и разбирать их заявки. Пригласить в сообщество учителя может только администратор.Переход участника по ссылке-приглашению не предполагает его автоматического присоединения к классу. Использование ссылки-приглашения только формирует заявку на вступление в класс, которую администратор может принять или отклонить. Участник получит сообщение о том, что администратор принял заявку или отклонил с указанием причины.Ссылку-приглашение можно отправить участнику по почте, в мессенджере, в СМС или другим удобным способом. Не размещайте ссылки в открытом доступе: в социальных сетях, на сайте школы, в массовых чатах в мессенджере. Это нужно, чтобы по ссылке не смог перейти посторонний.2) Подать заявку на вступление в организацию.Способ для учителя.Откройте сайт sferum.ru → «Вход для учителей» → Выберите регион → Справа вверху нажмите «Войти» → Введите свой номер телефона и пройдите регистрацию или авторизуйтесь, выберите нужную роль и вашу образовательную организацию. После этого создастся заявка, которую должен будет одобрить администратор или учитель.Важно правильно указать свою роль, так как возможности у учителей и учеников разные. Если вы неправильно выбрали роль, обратитесь за помощью к администратору школы.Обратите внимание: подать заявку в школу без классов не получится. Попросите администратора сначала создать их. 3) Учитель может присоединиться к школе, верифицировав профиль в мобильном приложении VK Мессенджер.1-й вариант. Верифицирование профиля по ссылке-приглашению от администратора.1. Откройте мобильное приложение VK Мессенджер, войдите в учебный профиль Сферума.2. Перейдите в раздел «Аккаунт» и нажмите кнопку «Подтвердить статус учителя».3. Вставьте ссылку-приглашение от администратора в нужное поле:4. Затем введите название предмета, который вы преподаёте → Выберите классы, в которых работаете → Нажмите на «Присоединиться».5. Администратор сообщества рассмотрит вашу заявку. После одобрения заявки в VK Мессенджере вы получите соответствующее уведомление.После этого ваш профиль считается верифицированным. Вы попадаете в сообщество школы на платформе Сферум и получаете голубую галочку около вашего имени в VK Мессенджере в качестве визуального подтверждения роли учителя.2-й вариант. Самостоятельная подача заявки на верификацию.1. Откройте мобильное приложение VK Мессенджер → Перейдите в раздел «Аккаунт».2. Затем нажмите на кнопку «Подтвердить статус учителя».3. После у вас будет возможность подать заявку на вступление в организацию. Для этого нажмите на «Выбрать организацию».4. Выберите населённый пункт и нужную организацию.5. Затем выберите роль, предмет и классы, в которых вы преподаёте, и нажмите «Отправить заявку».Примечание: если в данной организации пока нет классов — вступить в неё не получится. Запросите приглашение у администратора вашего школьного сообщества.6. Администратор сообщества рассмотрит вашу заявку. После одобрения заявки в VK Мессенджере вы получите соответствующее уведомление.После этого ваш профиль считается верифицированным. Вы попадаете в сообщество школы на платформе Сферум и получаете голубую галочку около вашего имени в VK Мессенджере в качестве визуального подтверждения роли учителя.
vk.com/faq20016;Опросы;С помощью опросов можно: собирать обратную связь после мероприятий проводить экспресс-тестирование открывать голосование за кандидатов на выборах в школьное самоуправление.
vk.com/faq20015;Статьи (медиаматериалы об образовательной организации);Храните в разделе любые текстовые материалы, важные для вашего сообщества: от типовых заданий для экзаменов до информации о выпускниках.
vk.com/faq20014;Документы (обмен материалами);В разделе «Документы» можно публиковать файлы, которые понадобятся в обучении. Ученики и коллеги смогут в любой момент просмотреть файлы и скачать нужные.Как использовать раздел «Документы»: храните в нём образовательные материалы, формируйте методическую базу и электронную библиотеку загружайте расписание, приказы и другую важную информацию размещайте отчёты со школьных мероприятий.
vk.com/faq20013;Трансляции;Как можно использовать в обучении и коммуникации? Используйте трансляции, чтобы пригласить людей на важное школьное мероприятие.Трансляция — это событие в виде особого звонка, в котором есть спикеры и зрители (слушатели). Слушатели не подключаются к звонку: им доступен только просмотр видео по ссылке. Авторизованные пользователи «Сферума» могут задавать вопросы и оставлять комментарии в чате в полной версии сайта. Также они могут ставить трансляцию на паузу и отправлять ссылку на просмотр другим людям. Они не станут членами вашего школьного сообщества и не получат доступ к его материалам.Максимальное количество спикеров в трансляции — 300, слушателей — до 10 000 человек.
vk.com/faq20012;Звонки;Как можно использовать в обучении и коммуникации? Звонки можно использовать:• Для совещаний с коллегами.• Для занятий по программам дополнительного образования.• Для проведения открытых уроков, когда к звонку по ссылке присоединяется коллега из другой организации. • Для проведения внеклассных мероприятий, когда к звонку по ссылке присоединяется приглашённый гость. • Для проведения родительских собраний.У звонка нет лимита по времени, а принять участие в нём одновременно могут 300 человек.
vk.com/faq20011;Чаты;В чатах можно делиться с учениками информацией о своём предмете, прикреплять файлы, проводить опросы, рассказывать о важных изменениях, напоминать о домашних заданиях, проводить аудио- и видеозвонки и просто общаться. Кроме того, возможно сделать запись звонка, которая останется доступной во вложениях чата этого звонка. Какие ещё чаты можно создать: чат для дополнительных занятий с группой учеников чат для учителей, которые ведут занятия у одного класса чат для участников конкретного мероприятия, например, экскурсии чат для учеников по отдельным предметам.При создании чата выберите в настройках «Закрытый чат», чтобы только у вас были максимальные возможности по управлению им.
vk.com/faq20007;Разбор заявок на вступление в образовательную организацию;Администратор образовательной организации в Сферуме видит заявки в меню, а также на главной странице организации.Заявки можно отфильтровать по роли, классу и параллели. Нажмите на аватар пользователя, который подал заявку, чтобы увидеть его профиль в Сферуме. Если пользователь перед подачей заявки верифицировался через Госуслуги, рядом с его именем появится значок, подтверждающий достоверность данных. Если учитель подал заявку с ошибкой, вы можете её исправить: например, изменить предмет или класс.Заявку можно принять или отклонить — для этого нажмите на нужную кнопку под аватаром человека. При отклонении заявки нужно указать причину. Участник получит сообщение о том, что администратор принял заявку или отклонил.Если вы отклонили заявку участника, то отменить действие нельзя, но можно пригласить человека по новой ссылке. Пользователь может сам отменить заявку, если передумал вступать в сообщество.Нельзя подавать заявку в школу без классов — пользователь увидит предупреждение об этом. Заявки на вступление в сообщество школы, которые были поданы в уже выпущенный класс, автоматически удаляются.Если заявка подана в класс, который затем удалили, она исчезнет. Администратор может вновь создать нужный класс, и участник — подать новую заявку в него, при этом старая заявка не будет отображаться.
vk.com/faq20006;Почему неактивна кнопка «Создать» при создании ссылки-приглашения?;Убедитесь, что заполнили все поля. Возможно, вы ещё не выбрали класс, в который попадёт участник, когда присоединится к школе по этой ссылке.Обратите внимание: классы нужно сформировать до создания приглашений. Тогда подготовленные классы появятся в списке в поле «Классы».
vk.com/faq20005;Как создать ссылку-приглашение?;1. Если у вас несколько организаций, то сначала войдите в нужную. Для этого нажмите на стрелку рядом с вашим фото и выберите организацию из списка.2. Слева в школьном меню выберите пункт «Приглашения по ссылке».3. Нажмите на кнопку «Создать ссылку».4. Заполните поля: срок действия — по умолчанию устанавливается один день, изменить его нельзя. Спустя сутки после создания воспользоваться ссылкой не получится, но можно создать новую. Максимальный срок действия ссылки — 14 дней количество использований ограничит число людей, которые смогут воспользоваться ссылкой. По одной ссылке могут зарегистрироваться до 100 пользователей роль — статус человека, который перейдёт по ссылке (учитель) куда ведёт — класс, в который будет добавлен учитель по этой ссылке.5. После заполнения нажмите «Сохранить».6. Чтобы скопировать ссылку, нажмите на три точки справа от неё и выберите пункт «Скопировать ссылку».7. Отправьте ссылки коллегам и учащимся закрытым способом: по почте, в мессенджере или по СМС.В день можно создать только 50 ссылок. Создать новые получится спустя 24 часа.После создания ссылок их необходимо разослать. Чтобы скопировать ссылку, нажмите на три точки справа от неё и выберите пункт «Скопировать ссылку». Отправьте ссылки коллегам и учащимся любым удобным способом: по почте, в мессенджере или по СМС.Переход участника по ссылке-приглашению не означает, что он автоматически присоединится к классу. Использование ссылки-приглашения только формирует заявку на вступление в класс, которую администратор может принять или отклонить. Учитель получит сообщение о том, что администратор принял заявку или отклонил с указанием причины.Не размещайте ссылки в открытом доступе, чтобы по ним не перешли посторонние. С помощью кнопки «Аннулировать ссылку» её можно удалить в любой момент — например, если все учителя уже зарегистрировались. Чтобы аннулировать ссылку: 1. Выберите нужную организацию по нажатию на стрелку возле вашего фото. Это необходимо, если вы состоите в нескольких организациях.2. В меню слева выберите пункт «Приглашения по ссылке».3. Нажмите на три точки напротив нужной ссылки.4. Выберите «Аннулировать ссылку».Если не все учителя сообщества успели перейти по ссылке и подать заявку на вступление, вы всегда можете создать новую ссылку-приглашение.
vk.com/faq20004;Как администратору создать класс?;Создавать классы могут только администраторы организации.1. Если у вас несколько организаций, то сначала войдите в нужную. Для этого нажмите на стрелку рядом с вашим фото и выберите организацию из списка.2. В меню выберите пункт «Классы».3. Нажмите на плюс сверху.4. В появившемся окне заполните информацию о классе.Обязательные поля: номер и учебный год.Необязательные поля: литера и название класса (например, физико-математический, химико-биологический и др.).Информацию о классе можно изменить в любой момент. Для этого в списке классов нажмите на три точки справа от нужного и выберите «Редактировать».
vk.com/faq20003;Как учителю заранее добавить документы, нужные для работы?;В выпадающем меню рядом с вашим фото выберите пункт «Мои документы». Нажмите «Загрузить файл» — откроется окно выбора документа на вашем устройстве. Выберите нужный, и он загрузится в ваши документы.Материалы из этого раздела можно сразу прикрепить в чат. Если вы отправляли какие-либо файлы в чатах, они автоматически сохранятся у вас в разделе «Мои документы».
vk.com/faq20002;Как можно использовать разделы «Документы», «Видео» и «Статьи» в образовательном процессе?;В этих разделах можно: хранить образовательные материалы, формировать методическую базу и электронную библиотеку загружать расписания, приказы и другую важную для школы информацию размещать видеоотчёты после мероприятий и материалы из школьной газеты.
vk.com/faq20001;Как создать статью?;1. Если вы состоите в нескольких организациях, сначала войдите в нужную. Для этого нажмите на стрелку рядом с вашим фото и выберите организацию из списка.2. В меню выберите пункт «Статьи».3. Нажмите на кнопку «+» в верхней части страницы — появится окно редактора текста.4. При первом запуске вы увидите небольшую инструкцию по работе с инструментом. Пожалуйста, внимательно изучите её.5. К готовому тексту рекомендуем добавить обложку, которую в первую очередь увидят читатели статьи. Для этого нажмите на кнопку «Публикация», затем на «Загрузить изображение».6. Нажмите на кнопку «Сохранить» — теперь ваша статья сохранена, но ещё недоступна для читателей.7. Нажмите на «Опубликовать», чтобы статья появилась в одноимённом разделе школьного сообщества.8. После публикации статьи вы сможете увидеть количество просмотров статей в вашем сообществе.
vk.com/faq20000;Как сохранить материалы школы в «Мои документы»;Откройте документ → «Сохранить к себе». После этого документ появится у вас в разделе «Мои документы» в левом меню.
vk.com/faq19999;Как отключить уведомления в чате?;Отключить уведомления можно так: открыть чат в разделе «Сообщения» → три точки вверху → «Информация о чате» → «Уведомления». Передвинуть переключатель в неактивное положение, чтобы он стал серым.
vk.com/faq19996;Как создать опрос в чате?;1. Если у вас несколько организаций, то сначала разверните выпадающее меню рядом с вашим профилем и из появившегося списка выберите нужную.2. В меню выберите пункт «Классы».3. Найдите нужный класс в списке и нажмите на его название.4. Под списком учителей в блоке «Чаты» нажмите на нужный. Чат откроется в VK Мессенджере.5. Нажмите на «+» слева от строки ввода текста и выберите пункт «Опрос».6. Впишите тему опроса, формулировки ответов, выберите цветовой фон из предложенных вариантов.7. Опрос можно сделать анонимным, разрешить выбирать несколько вариантов ответов, запретить отмену голоса и, если нужно, установить срок, до которого можно принимать участие в голосовании.8. Когда выберете все параметры, нажмите на кнопку «Сохранить», а затем на кнопку отправления сообщения— и опрос сразу появится в вашей беседе.В нужный чат можно сразу войти через раздел «Сообщения». Введите название нужной беседы в строке вверху для быстрого поиска.
vk.com/faq19995;Как удалить чат?;Удалить можно только классные и школьные чаты, то есть которые создали на самой платформе Сферум внутри класса или для организации в разделе «Публичные чаты». Для этого администратору нужно написать запрос в Поддержку. В обращении укажите название чата, который нужно удалить.Частный чат удалить нельзя. Однако можно исключить из него всех участников и архивировать. Можно начать использовать чат для новых целей. Для этого измените название и состав участников.
vk.com/faq19994;Как создать классный чат?;Это могут сделать администраторы и учителя в своих классах.Для этого:• Откройте раздел «Классы» в правом меню.• Найдите нужный класс в списке и нажмите на его название.• Под списком учителей нажмите на кнопку «Создать чат».• Укажите название чата (например, «Номер и буква класса — название предмета»), выберите тип «Чат класса» и нажмите на кнопку «Продолжить».• Отметьте учеников, которых хотите добавить в беседу, или воспользуйтесь кнопкой «Выбрать всех участников», нажмите на «Создать чат».Сообщения в чатах выпущенных и переведённых классов будут доступны для просмотра, но писать в них нельзя.
vk.com/faq19993;Как создать общешкольный чат?;При регистрации школы автоматически создаются два чата: общий, куда попадают все учителя и ученики образовательной организации, и учительский, куда добавляются все педагоги.Администраторы могут дополнительно создавать общие беседы, куда попадут все учителя и ученики образовательной организации. Это может пригодиться для размещения важной информации — например, о замене учителя или выездном мероприятии. Чтобы создать чат для всей школы:• Войдите в школу и откройте раздел «Публичные чаты» в правом меню.• Нажмите на плюс вверху.• В форме для создания чата впишите его название. • Выберите тип «Чат образовательной организации» и нажмите на кнопку «Продолжить».• Отметьте конкретных учеников или учителей, которых хотите добавить в беседу, или воспользуйтесь кнопкой «Выбрать всех участников» (чтобы все, кто зарегистрировался в школе, добавлялись в беседу автоматически). Затем нажмите на «Создать чат», чат откроется в VK Мессенджере.
